Cikkszám,Termék Név,Státusz,Nettó Ár,Bruttó Ár,Kategória,Rövid Leírás,Hosszú leírás,Kép link,Egység,Tömeg,Paraméter: Lemez állapota||text,Paraméter: Borító állapota||text,Paraméter: Label||text
Return-To-Forever-MP-2273,Chick Corea / Return To Forever MP 2273,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1972<br /><br />0129",A borítón enyhe barnás foltok!No OBI! Yes Insert! ,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),"Polydor, Polydor"
Success-Hasnt-Spoiled-Me-Yet-RPL-8127,Rick Springfield / Success Hasn't Spoiled Me Yet RPL-8127,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1982<br /><br />0129",Yes OBI!No Insert! ,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),RCA
Walking-The-Line-ULS-1708-P,The Oscar Peterson Trio / Walking The Line ULS-1708-P,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1975<br /><br />0129",Yes OBI!Yes Insert! ,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MPS Records
Tommy-Tutone-2-25AP-2342,Tommy Tutone / Tommy Tutone-2 25AP 2342,1,6348.96,6348.96,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1982<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),CBS/Sony
Music-Is-My-Thing,Samantha Gilles / Music Is My Thing / Under Control C12Y0184,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1986<br /><br />0129",Yes OBI! No Insert!,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Canyon International
om-The-Original-Motion-Picture-Soundtrack-P-11508,Various / Streets Of Fire - Music From The Original Motion Picture Soundtrack P-11508,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1984<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MCA Records
Live-Cream-Volume-II-MWX-4005,Cream (2) / Live Cream Volume II MWX 4005,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1980<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),RSO
The-Early-Tapes-July,Level 42 / The Early Tapes (July/August 1980) 28MM 0244,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129",No OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Polydor
That-Was-Then-This-Is-Now-SLPX-17936,"Safari (11) / That Was Then, This Is Now SLPX 17936",1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1985<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Krém
Popped-In-Souled-Out-SLPXL-37273,Wet Wet Wet / Popped In Souled Out SLPXL 37273,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1987<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Gong
